Transformer_ID,Age_Years,Oil_Temperature_C,Winding_Temperature_C,Ambient_Temperature_C,Voltage_kV,Current_A,Load_Percentage,Oil_Level_Percentage,Moisture_ppm,Dissolved_Gas_ppm,Vibration_mm_s,Partial_Discharge_pC,Cooling_Status,Health_Status
T0061,17,76.0,87.8,39,11.0,218.4,48,94.0,22.3,309.1,2.6,53.6,Normal,Warning
T0062,19,80.7,91.7,19,11.0,329.0,73,91.6,25.8,352.0,3.41,67.2,Normal,Warning
T0063,13,75.5,81.5,26,11.0,284.1,63,96.8,18.1,285.0,3.25,43.1,Oil Pump Running,Healthy
T0064,8,72.2,81.5,35,11.0,299.4,66,94.1,13.6,275.1,2.72,31.9,Normal,Healthy
T0065,22,83.6,89.9,31,11.0,366.4,82,90.3,27.7,405.9,4.24,73.2,Oil Pump Running,Critical
T0066,3,84.3,92.8,24,11.0,446.1,98,97.0,9.7,281.6,2.54,42.8,Fan Running,Warning
T0067,20,75.7,89.0,23,11.0,276.4,63,92.0,27.5,339.3,3.07,61.6,Fan Running,Warning
T0068,2,63.6,73.2,40,11.0,192.4,42,97.8,8.3,118.8,1.41,14.1,Oil Pump Running,Healthy
T0069,24,70.1,81.9,32,11.0,180.9,39,92.3,27.9,334.5,3.04,55.7,Fan Running,Healthy
T0070,29,77.5,89.6,21,11.0,271.4,61,89.4,29.7,464.3,3.91,78.3,Fan Running,Critical
T0071,7,79.6,89.4,28,11.0,366.6,81,95.4,15.4,266.3,2.65,39.3,Normal,Warning
T0072,9,67.0,75.8,24,11.0,189.9,43,98.2,16.9,201.7,2.48,30.0,Normal,Healthy
T0073,10,60.7,68.6,18,11.0,193.1,43,97.8,19.7,219.2,2.14,33.5,Fan Running,Healthy
T0074,5,67.6,81.1,33,11.0,257.9,58,98.5,10.9,190.2,2.54,28.4,Oil Pump Running,Healthy
T0075,3,70.1,77.3,34,11.0,268.5,60,99.0,11.3,192.7,1.78,24.5,Normal,Healthy
T0076,3,61.7,71.1,26,11.0,210.3,45,100.0,9.4,138.0,1.8,26.1,Normal,Healthy
T0077,24,77.5,85.9,35,11.0,221.5,50,88.7,26.7,365.6,3.55,60.4,Normal,Warning
T0078,5,68.4,77.5,27,11.0,273.4,59,97.5,11.4,226.5,2.37,35.6,Normal,Healthy
T0079,1,73.1,86.4,33,11.0,280.6,64,98.1,7.5,159.4,2.42,23.8,Normal,Warning
T0080,12,72.9,81.0,34,11.0,260.9,57,96.9,16.2,279.8,2.87,38.9,Normal,Healthy
T0081,11,62.1,70.2,22,11.0,181.6,40,95.9,16.0,200.7,2.24,37.8,Normal,Healthy
T0082,20,68.4,80.7,27,11.0,198.8,44,89.3,22.6,321.7,3.23,56.5,Normal,Healthy
T0083,21,85.1,94.4,23,11.0,379.0,85,90.1,28.5,408.7,4.01,67.1,Fan Running,Critical
T0084,1,80.1,89.2,42,11.0,363.0,81,100.0,9.4,191.4,1.93,22.5,Oil Pump Running,Warning
T0085,29,93.0,100.1,29,11.0,411.3,93,86.1,34.0,509.8,4.79,93.0,Oil Pump Running,Critical
T0086,6,74.2,84.4,22,11.0,362.3,79,95.1,13.7,276.3,3.07,33.3,Normal,Healthy
T0087,27,88.0,98.9,19,11.0,434.2,96,86.6,31.9,513.3,4.96,86.1,Normal,Critical
T0088,20,78.5,85.9,30,11.0,265.5,60,91.0,25.1,353.0,3.11,56.2,Normal,Warning
T0089,2,64.2,72.8,35,11.0,173.7,39,98.5,12.7,154.7,1.79,14.7,Normal,Healthy
T0090,14,81.5,91.0,30,11.0,361.4,82,94.5,20.1,328.1,3.57,57.7,Fan Running,Warning
T0091,27,89.2,95.7,23,11.0,425.2,95,88.0,32.4,500.3,4.73,78.0,Normal,Critical
T0092,3,79.4,89.5,41,11.0,330.4,75,98.3,10.7,247.1,2.01,34.6,Oil Pump Running,Warning
T0093,24,74.9,88.8,40,11.0,220.4,49,92.2,30.7,357.9,3.85,69.8,Normal,Critical
T0094,27,79.5,92.6,29,11.0,297.9,67,90.3,28.5,444.1,4.5,71.8,Normal,Critical
T0095,20,78.2,84.5,34,11.0,287.4,65,89.8,27.6,380.8,3.89,56.7,Normal,Warning
T0096,4,67.3,76.1,42,11.0,190.5,41,98.2,12.7,185.0,1.5,28.2,Fan Running,Healthy
T0097,24,79.9,88.9,29,11.0,300.3,68,89.1,25.7,399.8,4.01,75.9,Normal,Critical
T0098,27,81.6,95.3,34,11.0,307.4,67,90.8,33.0,458.0,4.35,72.0,Normal,Critical
T0099,20,88.5,97.4,38,11.0,397.8,90,91.4,25.7,392.7,3.55,69.4,Normal,Warning
T0100,4,78.3,87.6,34,11.0,356.8,80,96.1,11.4,259.7,2.2,27.2,Normal,Warning
T0101,23,84.5,95.6,22,11.0,419.9,92,91.7,26.8,439.9,3.78,77.0,Oil Pump Running,Warning
T0102,29,91.3,101.5,29,11.0,409.4,91,86.2,29.2,485.7,4.26,82.7,Normal,Critical
T0103,2,65.2,75.6,42,11.0,223.1,48,96.9,8.8,162.5,1.82,21.7,Oil Pump Running,Healthy
T0104,6,74.2,85.2,34,11.0,340.9,74,98.2,13.7,250.3,2.45,34.9,Fan Running,Healthy
T0105,3,81.7,95.7,41,11.0,410.2,92,99.0,9.1,277.5,3.01,40.9,Normal,Warning
T0106,23,78.9,90.3,19,11.0,313.5,69,92.4,30.2,395.7,4.23,73.3,Normal,Critical
T0107,29,70.7,84.0,34,11.0,167.5,36,86.4,30.2,426.9,3.49,68.9,Oil Pump Running,Warning
T0108,8,83.8,94.0,30,11.0,419.6,95,93.9,18.1,294.0,3.42,49.8,Fan Running,Warning
T0109,20,72.8,80.2,36,11.0,190.5,44,89.6,25.7,307.7,3.61,57.3,Normal,Warning
T0110,2,61.5,73.4,22,11.0,173.1,40,99.2,9.8,159.1,1.96,22.6,Normal,Healthy
T0111,29,89.1,96.8,42,11.0,371.8,84,85.6,34.3,516.7,4.69,88.9,Normal,Critical
T0112,16,67.1,79.1,21,11.0,224.8,51,92.2,21.3,273.3,2.76,46.0,Normal,Healthy
T0113,30,93.5,101.8,28,11.0,449.4,99,88.9,30.2,539.1,4.54,90.8,Normal,Critical
T0114,18,79.2,91.8,36,11.0,280.2,62,91.2,23.0,345.4,3.13,59.4,Normal,Warning
T0115,1,79.2,90.7,29,11.0,441.7,97,100.0,10.4,271.4,2.56,33.6,Normal,Warning
T0116,10,72.4,79.3,24,11.0,290.2,64,93.4,18.7,279.8,2.97,42.4,Normal,Healthy
T0117,4,81.2,93.2,30,11.0,381.3,85,98.6,11.4,238.2,2.52,35.6,Normal,Warning
T0118,13,79.8,86.8,38,11.0,289.5,64,95.2,20.0,270.0,3.03,47.0,Fan Running,Warning
T0119,22,82.2,91.7,35,11.0,346.4,76,91.1,24.4,409.7,4.22,64.9,Normal,Critical
T0120,9,70.6,84.4,27,11.0,246.6,54,96.4,15.3,222.2,2.88,32.6,Normal,Healthy
T0121,6,67.1,74.3,39,11.0,210.4,48,96.1,12.6,182.4,1.78,33.2,Normal,Healthy
T0122,7,80.4,89.6,30,11.0,427.7,94,97.7,14.6,305.9,2.94,39.0,Oil Pump Running,Warning
T0123,24,70.8,84.1,30,11.0,156.4,35,90.3,29.7,345.3,3.11,62.9,Oil Pump Running,Warning
T0124,28,78.6,88.2,25,11.0,258.0,58,88.9,29.0,431.2,4.31,77.7,Normal,Critical
T0125,9,84.7,95.7,31,11.0,430.5,96,96.8,18.8,303.0,3.31,51.9,Fan Running,Warning
T0126,27,73.1,83.4,33,11.0,210.6,48,90.1,33.2,407.2,3.45,70.9,Oil Pump Running,Warning
T0127,7,86.1,97.2,40,11.0,432.8,95,96.8,14.1,326.9,2.73,46.4,Fan Running,Warning
T0128,17,76.2,87.1,42,11.0,227.2,50,91.5,21.9,283.7,2.66,55.9,Normal,Warning
T0129,19,69.2,81.2,26,11.0,223.0,48,92.0,22.5,344.1,3.07,50.2,Normal,Healthy
T0130,30,79.4,90.5,42,11.0,193.0,43,87.8,31.4,453.8,3.83,76.2,Fan Running,Critical
T0131,15,72.3,82.0,27,11.0,234.0,51,92.2,22.2,303.2,3.33,49.1,Fan Running,Warning
T0132,1,74.3,85.5,41,11.0,312.1,70,99.0,10.5,165.1,2.45,20.0,Normal,Healthy
T0133,28,70.9,81.4,30,11.0,186.2,42,90.5,31.6,394.7,3.86,72.1,Normal,Warning
T0134,3,74.4,81.2,38,11.0,318.3,72,97.0,13.1,204.8,1.98,34.4,Oil Pump Running,Healthy
T0135,6,68.8,81.9,37,11.0,211.6,46,98.8,12.0,203.6,2.12,30.4,Fan Running,Healthy
T0136,22,70.1,78.0,21,11.0,219.2,50,90.7,24.0,358.0,3.12,60.4,Fan Running,Healthy
T0137,6,61.4,69.9,35,11.0,160.6,35,97.1,12.6,167.9,1.85,30.5,Normal,Healthy
T0138,6,81.1,87.3,38,11.0,366.3,81,98.0,16.4,251.8,3.11,37.9,Fan Running,Warning
T0139,25,67.4,76.8,22,11.0,169.5,39,87.5,30.0,358.5,3.75,63.9,Normal,Warning
T0140,10,78.6,89.0,31,11.0,356.2,78,94.5,19.0,290.2,2.95,41.9,Oil Pump Running,Warning
T0141,12,86.9,95.5,24,11.0,438.1,98,93.7,19.1,364.1,3.7,48.9,Oil Pump Running,Warning
T0142,29,72.8,79.7,30,11.0,177.2,41,89.5,32.1,428.0,3.46,71.8,Oil Pump Running,Warning
T0143,20,74.8,86.4,30,11.0,240.0,53,92.4,23.3,356.0,3.3,60.8,Normal,Warning
T0144,22,67.7,74.5,23,11.0,182.4,39,88.3,28.8,316.3,3.09,59.9,Normal,Warning
T0145,6,62.7,72.2,31,11.0,177.8,39,99.3,11.1,182.1,1.57,20.2,Fan Running,Healthy
T0146,19,87.4,93.5,40,11.0,385.2,86,92.4,26.8,430.8,3.78,64.2,Normal,Warning
T0147,3,82.2,89.4,38,11.0,419.7,95,95.8,12.5,237.3,3.09,30.6,Normal,Warning
T0148,5,61.9,72.4,33,11.0,165.7,37,98.7,15.5,156.0,2.09,25.1,Normal,Healthy
T0149,24,74.6,85.1,42,11.0,202.5,45,90.7,30.5,394.8,3.12,56.9,Normal,Warning
T0150,1,65.0,73.5,38,11.0,204.1,45,100.0,11.8,146.5,1.51,22.8,Fan Running,Healthy
T0151,16,73.6,86.0,39,11.0,249.8,56,93.8,22.6,307.1,2.96,54.0,Normal,Warning
T0152,26,86.6,93.1,42,11.0,354.1,77,90.1,31.8,443.9,4.31,82.8,Normal,Critical
T0153,20,88.8,96.7,27,11.0,398.7,89,90.9,26.6,402.1,3.89,70.7,Normal,Critical
T0154,9,79.2,92.6,26,11.0,404.7,89,97.3,14.9,286.4,3.4,52.6,Normal,Warning
T0155,9,85.7,92.4,35,11.0,441.9,98,97.4,14.4,341.0,3.59,45.4,Oil Pump Running,Warning
T0156,2,80.1,87.7,39,11.0,378.6,85,100.0,12.3,227.6,2.06,35.0,Normal,Warning
T0157,8,76.8,87.0,30,11.0,305.6,68,96.7,13.5,237.5,2.34,40.5,Normal,Warning
T0158,19,84.0,94.2,36,11.0,354.4,80,89.6,27.2,382.4,3.35,65.2,Normal,Warning
T0159,5,61.4,71.5,28,11.0,163.3,38,95.2,15.9,188.0,1.87,23.8,Normal,Healthy
T0160,30,86.6,100.1,42,11.0,319.3,70,89.1,35.8,465.2,4.0,78.6,Normal,Critical
T0161,13,60.8,71.3,20,11.0,176.9,38,94.1,22.1,270.6,2.13,40.2,Fan Running,Healthy
T0162,30,71.9,82.4,21,11.0,209.3,46,89.8,34.0,425.6,3.97,70.9,Normal,Warning
T0163,24,73.0,81.1,25,11.0,254.1,57,91.9,30.6,414.2,3.31,70.3,Fan Running,Warning
T0164,2,63.5,69.6,21,11.0,233.7,53,99.9,11.1,162.5,2.03,21.0,Normal,Healthy
T0165,9,67.8,76.9,30,11.0,224.1,50,97.4,18.7,253.5,2.37,39.9,Normal,Healthy
T0166,6,66.7,79.6,25,11.0,204.2,44,95.3,13.5,163.8,2.45,31.1,Normal,Healthy
T0167,15,81.5,91.4,28,11.0,344.1,76,91.7,19.3,315.4,3.51,55.0,Normal,Warning
T0168,15,75.2,83.1,22,11.0,302.9,69,93.9,19.8,346.2,2.98,47.1,Fan Running,Warning
T0169,29,74.9,85.0,33,11.0,222.6,49,89.3,34.8,431.6,4.29,69.2,Normal,Critical
T0170,12,79.3,92.7,31,11.0,299.6,68,93.6,21.0,269.4,3.15,43.2,Normal,Warning
T0171,15,81.9,91.4,34,11.0,355.6,78,95.7,19.7,337.6,2.94,53.7,Normal,Warning
T0172,19,73.6,83.8,23,11.0,229.7,52,90.3,24.8,353.7,3.59,58.1,Normal,Warning
T0173,6,67.3,78.9,24,11.0,239.0,52,97.5,12.0,177.9,2.41,27.9,Normal,Healthy
T0174,17,79.7,90.8,29,11.0,353.6,77,90.7,22.1,379.8,3.16,60.8,Normal,Warning
T0175,6,77.0,88.6,36,11.0,365.7,81,98.9,12.9,287.9,3.1,32.2,Normal,Warning
T0176,23,83.7,96.7,25,11.0,343.2,76,92.3,26.1,398.5,4.16,69.6,Normal,Critical
T0177,17,70.9,84.6,35,11.0,229.6,52,91.1,20.2,299.0,3.36,45.0,Normal,Healthy
T0178,30,81.2,93.9,40,11.0,267.7,59,87.3,31.4,454.7,4.1,73.9,Normal,Critical
T0179,2,64.6,75.3,26,11.0,229.2,50,96.8,8.3,183.1,1.88,17.0,Normal,Healthy
T0180,5,86.1,93.4,39,11.0,428.2,94,99.7,12.3,273.2,3.12,40.0,Fan Running,Warning
T0181,2,78.7,86.6,42,11.0,361.9,81,98.4,13.5,240.3,2.73,33.9,Oil Pump Running,Warning
T0182,2,69.1,82.6,28,11.0,234.5,53,98.3,11.4,157.9,1.92,15.8,Fan Running,Healthy
T0183,7,62.6,72.0,34,11.0,164.9,37,99.2,14.3,156.8,2.46,32.8,Normal,Healthy
T0184,2,77.0,87.9,38,11.0,312.6,69,100.0,7.8,174.0,1.82,19.9,Normal,Warning
T0185,2,63.5,74.7,27,11.0,214.4,49,99.2,13.3,158.8,1.62,19.8,Oil Pump Running,Healthy
T0186,30,87.1,94.1,22,11.0,406.2,91,87.0,31.7,506.6,4.4,89.4,Fan Running,Critical
T0187,20,81.0,88.6,40,11.0,286.9,63,91.3,25.3,372.8,3.47,57.9,Normal,Warning
T0188,11,71.4,80.4,25,11.0,266.9,59,92.7,16.9,289.7,2.48,41.9,Fan Running,Healthy
T0189,9,70.8,83.0,27,11.0,273.5,62,93.7,18.4,250.4,2.21,36.6,Fan Running,Healthy
T0190,12,72.0,85.9,41,11.0,218.8,48,96.9,18.1,266.1,2.29,36.0,Oil Pump Running,Healthy
T0191,28,75.6,87.5,26,11.0,215.7,47,88.2,33.1,426.5,4.25,66.8,Normal,Critical
T0192,1,65.6,79.3,31,11.0,226.2,50,98.7,11.5,172.4,1.86,16.9,Fan Running,Healthy
T0193,23,83.4,91.7,32,11.0,317.8,71,90.6,26.7,401.3,4.13,73.3,Fan Running,Critical
T0194,13,76.9,85.3,32,11.0,322.8,73,94.7,19.9,291.3,3.48,47.1,Oil Pump Running,Healthy
T0195,27,81.9,91.3,25,11.0,348.6,76,86.3,27.9,465.9,4.27,83.8,Normal,Critical
T0196,18,88.1,98.2,37,11.0,408.0,90,91.7,22.5,405.7,3.66,70.3,Normal,Warning
T0197,17,69.0,79.0,25,11.0,213.9,47,94.8,20.5,285.3,2.92,48.3,Oil Pump Running,Healthy
T0198,29,89.0,101.0,36,11.0,344.5,78,87.2,31.4,460.5,4.3,78.7,Normal,Critical
T0199,23,93.5,102.9,28,11.0,444.5,100,89.2,27.5,470.3,4.08,73.4,Oil Pump Running,Critical
T0200,20,81.7,92.7,21,11.0,363.6,80,92.5,22.1,370.2,3.97,66.2,Normal,Critical
T0201,13,64.1,71.6,21,11.0,162.0,36,94.6,18.0,250.8,2.52,44.8,Oil Pump Running,Healthy
T0202,7,65.9,76.1,31,11.0,225.2,50,94.3,12.1,236.9,2.23,30.1,Fan Running,Healthy
T0203,26,68.9,79.5,19,11.0,156.3,36,87.8,28.5,344.0,3.65,69.0,Oil Pump Running,Warning
T0204,3,68.8,77.9,29,11.0,258.4,59,100.0,11.9,215.6,2.02,26.8,Normal,Healthy
T0205,8,69.8,82.6,19,11.0,244.5,55,98.3,17.3,218.2,2.5,40.0,Fan Running,Healthy
T0206,3,77.9,88.6,25,11.0,376.6,84,97.8,12.7,209.3,2.82,27.3,Normal,Warning
T0207,12,69.6,82.7,30,11.0,259.3,58,94.0,17.6,298.3,2.63,44.9,Normal,Healthy
T0208,14,75.3,85.0,29,11.0,294.5,66,93.6,18.9,283.5,3.34,45.9,Normal,Healthy
T0209,3,71.6,83.9,24,11.0,311.4,69,98.1,13.2,192.4,2.12,24.5,Fan Running,Healthy
T0210,13,74.8,84.6,38,11.0,269.8,61,96.1,20.5,318.5,3.35,47.0,Fan Running,Warning
T0211,19,77.4,87.5,29,11.0,291.0,66,93.2,25.3,337.5,3.79,62.4,Fan Running,Warning
T0212,1,67.6,76.7,39,11.0,231.9,53,97.5,11.9,145.3,1.96,14.3,Oil Pump Running,Healthy
T0213,30,95.5,103.0,29,11.0,449.0,99,85.4,31.7,557.0,4.81,89.3,Fan Running,Critical
T0214,25,80.0,87.4,38,11.0,227.4,51,91.0,30.1,415.8,3.27,69.4,Fan Running,Critical
T0215,8,81.1,87.9,30,11.0,356.7,80,95.2,16.1,263.2,2.98,40.3,Oil Pump Running,Warning
T0216,6,72.7,79.9,31,11.0,273.8,60,97.4,14.6,246.5,2.39,28.0,Fan Running,Healthy
T0217,23,83.7,95.1,34,11.0,302.7,67,92.5,25.1,419.8,3.95,72.8,Oil Pump Running,Critical
T0218,20,75.2,86.6,40,11.0,177.1,41,90.6,26.7,312.7,3.51,52.7,Fan Running,Warning
T0219,24,79.6,86.3,37,11.0,290.6,63,89.5,30.8,417.5,4.03,72.7,Fan Running,Critical
T0220,17,72.5,82.6,19,11.0,281.4,61,90.8,24.2,304.6,3.41,57.8,Normal,Warning
T0221,6,73.2,84.3,35,11.0,248.2,55,95.8,11.2,201.5,2.17,26.1,Normal,Healthy
T0222,5,82.5,90.4,22,11.0,432.4,97,97.6,12.7,310.2,2.73,38.0,Normal,Warning
T0223,19,78.4,90.9,36,11.0,293.3,65,93.2,22.2,370.0,3.54,58.5,Fan Running,Warning
T0224,27,75.1,81.2,24,11.0,220.3,49,86.4,33.0,396.2,3.48,67.7,Normal,Critical
T0225,6,81.1,90.0,28,11.0,404.2,91,95.0,10.9,311.5,3.07,35.4,Normal,Warning
T0226,24,80.1,90.0,36,11.0,304.9,68,88.3,28.5,386.5,4.28,71.8,Oil Pump Running,Critical
T0227,30,86.6,93.2,41,11.0,305.5,67,85.1,32.4,452.7,4.25,87.6,Oil Pump Running,Critical
T0228,28,78.2,89.9,39,11.0,249.0,56,88.9,30.7,440.8,3.89,70.8,Normal,Critical
T0229,18,76.3,82.7,29,11.0,302.6,67,92.9,25.3,366.3,3.77,63.4,Fan Running,Warning
T0230,14,76.1,86.9,33,11.0,249.5,55,92.1,18.6,268.3,3.01,44.7,Normal,Warning
T0231,28,90.9,102.7,32,11.0,424.0,96,90.0,33.5,529.2,4.62,83.5,Normal,Critical
T0232,17,89.9,96.4,40,11.0,388.1,88,95.0,20.7,399.5,3.57,55.5,Oil Pump Running,Warning
T0233,22,76.9,87.2,29,11.0,270.3,60,90.3,26.8,387.5,3.3,62.2,Oil Pump Running,Warning
T0234,20,69.0,77.7,20,11.0,191.5,42,91.8,24.5,316.1,3.29,49.4,Normal,Healthy
T0235,17,71.7,79.5,38,11.0,174.8,38,93.7,20.5,290.7,2.89,52.7,Normal,Healthy
T0236,17,84.3,91.2,25,11.0,404.4,91,94.6,22.9,368.7,4.05,59.6,Normal,Critical
T0237,7,76.0,83.8,34,11.0,300.8,67,96.9,15.8,258.1,2.89,36.5,Fan Running,Healthy
T0238,22,83.5,93.5,20,11.0,409.6,91,92.4,29.3,449.6,4.54,73.0,Fan Running,Critical
T0239,27,90.6,104.3,39,11.0,377.6,85,88.6,28.2,472.4,4.53,79.8,Normal,Critical
T0240,12,63.4,77.0,19,11.0,161.4,36,92.8,16.4,256.5,2.04,42.7,Normal,Healthy
T0241,19,78.9,90.8,21,11.0,357.5,80,93.2,25.3,409.5,3.36,61.8,Oil Pump Running,Warning
T0242,12,86.3,97.1,41,11.0,430.1,97,94.9,20.4,330.8,3.81,56.9,Normal,Critical
T0243,12,80.1,94.0,24,11.0,413.0,92,96.2,18.5,318.4,3.13,48.6,Normal,Warning
T0244,28,92.0,102.7,39,11.0,369.5,83,90.8,33.0,472.1,4.42,76.2,Normal,Critical
T0245,16,90.7,103.1,34,11.0,424.6,96,91.5,23.7,402.8,3.63,62.0,Normal,Warning
T0246,23,85.3,99.0,32,11.0,382.8,85,89.6,27.6,428.7,3.77,74.6,Normal,Warning
